date,country,daily_count
2016-08-13,Wales,63.87096774193548
2016-08-14,England,1935.0
2016-08-14,Scotland,75.0
2016-08-14,Wales,63.87096774193548
2016-08-15,England,1938.0
2016-08-15,Scotland,92.0
2016-08-15,Wales,63.87096774193548
2016-08-16,England,1880.0
2016-08-16,Scotland,87.0
2016-08-16,Wales,63.87096774193548
2016-08-17,England,1942.0
2016-08-17,Scotland,70.0
2016-08-17,Wales,63.87096774193548
2016-08-18,England,1831.0
2016-08-18,Scotland,85.0
2016-08-18,Wales,63.87096774193548
2016-08-19,England,1528.0
2016-08-19,Scotland,52.0
2016-08-19,Wales,63.87096774193548
2016-08-20,England,1456.0
2016-08-20,Scotland,60.0
2016-08-20,Wales,63.87096774193548
2016-08-21,England,1461.0
2016-08-21,Scotland,70.0
2016-08-21,Wales,63.87096774193548
2016-08-22,England,1692.0
2016-08-22,Scotland,80.0
2016-08-22,Wales,63.87096774193548
2016-08-23,England,1822.0
2016-08-23,Scotland,52.0
2016-08-23,Wales,63.87096774193548
2016-08-24,England,1996.0
2016-08-24,Scotland,73.0
2016-08-24,Wales,63.87096774193548
2016-08-25,England,1687.0
2016-08-25,Scotland,71.0
2016-08-25,Wales,63.87096774193548
2016-08-26,England,1782.0
2016-08-26,Scotland,74.0
2016-08-26,Wales,63.87096774193548
2016-08-27,England,1779.0
2016-08-27,Scotland,78.0
2016-08-27,Wales,63.87096774193548
2016-08-28,England,1597.0
2016-08-28,Scotland,103.0
2016-08-28,Wales,63.87096774193548
2016-08-29,England,1834.0
2016-08-29,Scotland,75.0
2016-08-29,Wales,63.87096774193548
2016-08-30,England,1792.0
2016-08-30,Scotland,76.0
2016-08-30,Wales,63.87096774193548
2016-08-31,England,1805.0
2016-08-31,Scotland,78.0
2016-08-31,Wales,63.87096774193548
2016-09-01,England,1671.0
2016-09-01,Scotland,65.0
2016-09-01,Wales,50.8
2016-09-02,England,1595.0
2016-09-02,Scotland,57.0
2016-09-02,Wales,50.8
2016-09-03,England,1546.0
2016-09-03,Scotland,63.0
2016-09-03,Wales,50.8
2016-09-04,England,1472.0
2016-09-04,Scotland,92.0
2016-09-04,Wales,50.8
2016-09-05,England,1699.0
2016-09-05,Scotland,80.0
2016-09-05,Wales,50.8
2016-09-06,England,1798.0
2016-09-06,Scotland,68.0
2016-09-06,Wales,50.8
2016-09-07,England,1744.0
2016-09-07,Scotland,67.0
2016-09-07,Wales,50.8
2016-09-08,England,1700.0
2016-09-08,Scotland,46.0
2016-09-08,Wales,50.8
2016-09-09,England,1523.0
2016-09-09,Scotland,39.0
2016-09-09,Wales,50.8
2016-09-10,England,1547.0
2016-09-10,Scotland,66.0
2016-09-10,Wales,50.8
2016-09-11,England,1783.0
2016-09-11,Scotland,77.0
2016-09-11,Wales,50.8
2016-09-12,England,1638.0
2016-09-12,Scotland,56.0
2016-09-12,Wales,50.8
2016-09-13,England,1934.0
2016-09-13,Scotland,62.0
2016-09-13,Wales,50.8
2016-09-14,England,1716.0
2016-09-14,Scotland,44.0
2016-09-14,Wales,50.8
2016-09-15,England,1743.0
2016-09-15,Scotland,61.0
2016-09-15,Wales,50.8
2016-09-16,England,1710.0
2016-09-16,Scotland,54.0
2016-09-16,Wales,50.8
2016-09-17,England,1635.0
2016-09-17,Scotland,89.0
2016-09-17,Wales,50.8
2016-09-18,England,1734.0
2016-09-18,Scotland,85.0
2016-09-18,Wales,50.8
2016-09-19,England,1502.0
2016-09-19,Scotland,94.0
2016-09-19,Wales,50.8
2016-09-20,England,1635.0
2016-09-20,Scotland,92.0
2016-09-20,Wales,50.8
2016-09-21,England,1556.0
2016-09-21,Scotland,54.0
2016-09-21,Wales,50.8
2016-09-22,England,1495.0
2016-09-22,Scotland,69.0
2016-09-22,Wales,50.8
2016-09-23,England,1613.0
2016-09-23,Scotland,79.0
2016-09-23,Wales,50.8
2016-09-24,England,1765.0
2016-09-24,Scotland,72.0
2016-09-24,Wales,50.8
2016-09-25,England,1609.0
2016-09-25,Scotland,71.0
2016-09-25,Wales,50.8
2016-09-26,England,1394.0
2016-09-26,Scotland,76.0
2016-09-26,Wales,50.8
2016-09-27,England,1449.0
2016-09-27,Scotland,50.0
2016-09-27,Wales,50.8
2016-09-28,England,1583.0
2016-09-28,Scotland,39.0
2016-09-28,Wales,50.8
2016-09-29,England,1476.0
2016-09-29,Scotland,39.0
2016-09-29,Wales,50.8
2016-09-30,England,1641.0
2016-09-30,Scotland,49.0
2016-09-30,Wales,50.8
2016-10-01,England,1667.0
2016-10-01,Scotland,89.0
2016-10-01,Wales,63.935483870967744
2016-10-02,England,1726.0
2016-10-02,Scotland,84.0
2016-10-02,Wales,63.935483870967744
2016-10-03,England,1664.0
2016-10-03,Scotland,75.0
2016-10-03,Wales,63.935483870967744
2016-10-04,England,1518.0
2016-10-04,Scotland,65.0
2016-10-04,Wales,63.935483870967744
2016-10-05,England,1610.0
2016-10-05,Scotland,81.0
2016-10-05,Wales,63.935483870967744
2016-10-06,England,1611.0
2016-10-06,Scotland,101.0
2016-10-06,Wales,63.935483870967744
2016-10-07,England,1644.0
2016-10-07,Scotland,63.0
